timestamp,vessel_count,vessel_avg_speed
2025-08-22 15:15:00,6421,3.233484
2025-08-22 15:18:00,6422,3.311071
2025-08-22 15:21:00,6348,3.105261
2025-08-22 15:24:00,6573,3.060155
2025-08-22 15:27:00,6339,2.931740
2025-08-22 15:30:00,6487,3.016741
2025-08-22 15:33:00,6526,3.026739
2025-08-22 15:36:00,6539,2.945450
2025-08-22 15:39:00,6423,3.014650
2025-08-22 15:42:00,6339,2.932955
2025-08-22 15:45:00,6081,2.956471
2025-08-22 15:48:00,6454,2.950558
2025-08-22 15:51:00,6047,2.853365
2025-08-22 15:54:00,6315,2.956516
2025-08-22 15:57:00,6205,2.935923
2025-08-22 16:00:00,6263,2.927319
2025-08-22 16:03:00,5820,2.891151
2025-08-22 16:06:00,6051,2.903867
2025-08-22 16:09:00,6393,3.032223
2025-08-22 16:12:00,5981,3.021769
2025-08-22 16:15:00,5861,3.019792
2025-08-22 16:18:00,6190,2.928271
2025-08-22 16:21:00,5781,3.028801
2025-08-22 16:24:00,6253,3.096226
2025-08-22 16:27:00,5906,3.102608
2025-08-22 16:30:00,5815,3.046208
2025-08-22 16:33:00,5924,2.972974
2025-08-22 16:36:00,6038,2.933389
2025-08-22 16:39:00,6380,3.053762
2025-08-22 16:42:00,5812,2.866414
2025-08-22 16:45:00,6572,2.895679
2025-08-22 16:48:00,5717,2.793213
2025-08-22 16:51:00,5980,2.766990
2025-08-22 16:54:00,5983,2.837623
2025-08-22 16:57:00,5576,2.745337
2025-08-22 17:00:00,6165,2.665109
2025-08-22 17:03:00,5801,2.602775
2025-08-22 17:06:00,5733,2.685557
2025-08-22 17:09:00,5855,2.709069
2025-08-22 17:12:00,5861,2.695717
2025-08-22 17:15:00,5785,2.594209
2025-08-22 17:18:00,5564,2.657063
2025-08-22 17:21:00,6512,2.864696
2025-08-22 17:24:00,6138,2.818198
2025-08-22 17:27:00,6388,2.637868
2025-08-22 17:30:00,6019,2.758249
2025-08-22 17:33:00,6283,2.777033
2025-08-22 17:36:00,6170,2.573614
2025-08-22 17:39:00,6446,2.545268
2025-08-22 17:42:00,5867,2.557031
2025-08-22 17:45:00,6404,2.770394
2025-08-22 17:48:00,6368,2.711778
2025-08-22 17:51:00,6590,2.658725
2025-08-22 17:54:00,6723,2.681957
2025-08-22 17:57:00,6270,2.577464
2025-08-22 18:00:00,6569,2.835835
2025-08-22 18:03:00,6558,2.803278
2025-08-22 18:06:00,6550,2.792183
2025-08-22 18:09:00,6398,2.885120
2025-08-22 18:12:00,6020,2.762209
2025-08-22 18:15:00,6376,2.931368
2025-08-22 18:18:00,6409,2.927898
2025-08-22 18:21:00,6083,2.960595
2025-08-22 18:24:00,5503,2.758532
2025-08-22 18:27:00,6219,2.648271
2025-08-22 18:30:00,5674,2.664047
2025-08-22 18:33:00,5985,2.533150
